HORA;bandera;liga;HOME;AWAY;;ARBITRO;;1X2;TEN HOME;TEN AWAY;TIROS HOME;TIROS AWAY;GOLES HOME;GOLES AWAY;GOLES TOTAL;COR HOME;COR AWAY;CORNERS;FALTAS HOME;FALTAS AWAY;AMARILLAS HOME;AMARILLAS AWAY;ARBITRO AMARILLAS;AMARILLAS TOTAL;ROJAS HOME;ROJAS AWAY;ARBITRO ROJAS;ROJAS TOTAL;PENALTIS HOME;PENALTIS AWAY;ARBITRO PENALTIS;PENALTIS TOTAL;GAT;1;X;2;+2.5;-2.5;AEMSI;AEMNO;POISSON_LAMBDA_HOME;POISSON_LAMBDA_AWAY;P_CUOTA_1;P_CUOTA_X;P_CUOTA_2;P_CUOTA_OVER25;P_CUOTA_UNDER25;CASA_PROB_1;CASA_PROB_X;CASA_PROB_2;CASA_PROB_OVER25;CASA_PROB_UNDER25;MARGEN_CASA_1X2;MARGEN_CASA_GOLES;VALUE_1;VALUE_X;VALUE_2;VALUE_OVER25;VALUE_UNDER25;RECOMENDACION;URL flashscore;Slug HOME;Slug AWAY
20:00;Imagen;ITA ²;Avellino;Sudtirol;+;Simone Galipò;G;7.67%;2.27;2.46;12.10;12.87;0.74;0.98;1.72;4.50;4.27;8.77;13.37;17.70;2.16;2.45;5.22;4.91;0.04;0.04;0.28;0.19;0.10;0.12;0.50;0.36;2.00;2.45;2.90;2.90;2.30;1.55;1.91;1.80;0.738300459;0.980103147;0.265486043;0.334586656;0.399271812;0.246987153;0.752357358;0.408163265;0.344827586;0.344827586;0.434782609;0.64516129;0.097818438;0.079943899;-0.142677222;-0.01024093;0.054444226;-0.187795455;0.107196067;UNDER2.5;https://www.flashscore.mobi/match/K4yEGtGs/?t=stats;avellino-A332L1f5;sudtirol-W02MZDnp
20:00;Imagen;ITA ²;Carrarese;Sampdoria;+;Rosario Abisso;G;0.33%;2.32;1.92;13.68;11.86;1.20;0.77;1.98;4.82;4.00;8.82;13.90;16.43;2.14;2.50;4.20;4.42;0.07;0.18;0.34;0.31;0.13;0.11;0.00;0.12;1.95;2.50;2.90;2.80;2.30;1.57;1.95;1.75;1.204414908;0.773874126;0.460425458;0.30055256;0.237339812;0.315765126;0.682552704;0.4;0.344827586;0.357142857;0.434782609;0.636942675;0.101970443;0.071725284;0.060425458;-0.044275026;-0.119803045;-0.119017483;0.045610028;1;https://www.flashscore.mobi/match/6LZLEKpf/?t=stats;carrarese-hG4fg4z3;sampdoria-nJbCGx2U
20:00;Imagen;ITA ²;Pescara;Entella;+;Ivano Pezzuto;G;4.67%;3.67;1.86;14.88;12.21;2.06;0.92;2.98;5.99;4.90;10.89;14.39;16.28;1.89;2.22;4.36;4.23;0.00;0.07;0.11;0.09;0.05;0.16;0.00;0.10;1.73;2.10;3.25;3.25;1.85;1.85;1.70;2.05;2.060562385;0.921765734;0.618178424;0.203504052;0.159085751;0.553607267;0.427160959;0.476190476;0.307692308;0.307692308;0.540540541;0.540540541;0.091575092;0.081081081;0.141987947;-0.104188255;-0.148606557;0.013066727;-0.113379581;1;https://www.flashscore.mobi/match/GfP5EBjB/?t=stats;pescara-WW0i6v4C;entella-hUuJfYbb
14:00;Imagen;TUR;Alanyaspor;Kocaelispor;+;Yiğit Arslan;G;-12.00%;2.21;2.46;13.41;9.80;0.99;0.92;1.91;4.94;3.68;8.61;13.49;15.02;2.33;2.45;4.78;4.78;0.00;0.05;0.38;0.23;0.10;0.13;0.17;0.20;1.95;2.05;3.00;3.80;2.25;1.60;1.91;1.80;0.986561111;0.919380556;0.358692975;3.17E-01;3.23E-01;0.29694609;0.702116028;0.487804878;0.333333333;0.263157895;0.444444444;0.625;0.084296106;0.069444444;-0.129111903;-0.015948936;0.059826851;-0.147498355;0.077116028;UNDER2.5;https://www.flashscore.mobi/match/xlrpMmaD/?t=stats;alanyaspor-IcN8oPcJ;kocaelispor-hfvQIzKf
18:00;Imagen;TUR;Basaksehir;Antalyaspor;+;;;25.00%;4.95;1.37;13.21;10.26;1.99;0.94;2.94;5.76;4.21;9.97;14.52;12.60;2.32;2.48;;;0.04;0.04;;;0.10;0.09;0.00;0.09;1.65;1.53;4.00;5.50;1.67;2.10;1.75;1.95;1.994095238;0.941404444;0.602179251;0.210569346;0.170472563;0.545426133;0.437795027;0.653594771;0.25;0.181818182;0.598802395;0.476190476;0.085412953;0.074992871;-0.05141552;-0.039430654;-0.011345619;-0.053376263;-0.038395449;SinValue;https://www.flashscore.mobi/match/nuNoDhGr/?t=stats;basaksehir-YqP5NmC1;antalyaspor-GAtxDHF9
18:00;Imagen;TUR;Eyupspor;Trabzonspor;+;Oğuzhan Çakır;G;-47.33%;0.98;6.22;13.46;14.04;0.80;2.27;3.07;5.09;4.71;9.79;13.00;13.29;2.00;1.82;3.66;3.74;0.09;0.17;0.18;0.22;0.02;0.21;0.46;0.34;1.67;4.80;3.75;1.63;1.73;2.00;1.75;1.95;0.801627778;2.26584;0.116808926;0.178145078;0.676689485;0.563397831;0.408245658;0.208333333;0.266666667;0.613496933;0.578034682;0.5;0.088496933;0.078034682;-0.091524407;-0.088521589;0.063192552;-0.014636851;-0.091754342;2;https://www.flashscore.mobi/match/f5QgBWpe/?t=stats;eyupspor-276zKCgt;trabzonspor-MmsYDc03
0:00;Imagen;USA;Inter Miami;Nashville SC;#N/D;;;#N/D;#N/D;#N/D;;;#N/D;#N/D;;1.00;1.00;2.00;;;1.50;1.50;;;0.00;0.50;;;0.13;0.18;0.00;0.15;1.53;1.63;3.90;4.20;1.55;2.30;1.55;2.30;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.613496933;0.256410256;0.238095238;0.64516129;0.434782609;0.108002427;0.079943899;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/vwuR6E67/?t=stats;inter-miami-0AheRyBg;nashville-sc-84yIDQMe
2:00;Imagen;MEX;Club America;Philadelphia Union;#N/D;;;#N/D;#N/D;#N/D;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;;1.96;3.39;;;0.08;0.58;;;0.25;0.09;0.00;0.17;1.61;1.55;3.80;5.00;1.70;2.05;1.75;1.95;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.64516129;0.263157895;0.2;0.588235294;0.487804878;0.108319185;0.076040172;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/vV6xiLDM/?t=stats;club-america-vyrswtJm;philadelphia-union-Szrwix67
3:00;Imagen;MEX;Guadalajara;Leon;#N/D;Jorge Camacho Peregrina;G;#N/D;#N/D;#N/D;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;;2.22;2.24;4.39;4.43;0.08;0.12;0.25;0.24;0.24;0.32;0.17;0.36;1.57;1.33;4.50;6.50;1.53;2.30;1.73;1.95;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.751879699;0.222222222;0.153846154;0.653594771;0.434782609;0.127948075;0.08837738;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/jVIRHSr4/?t=stats;guadalajara-chivas-Y5TaMKY6;club-leon-l0iuHPBQ
20:00;Imagen;ARA;Al-Ahli;Al-Hilal;#N/D;;;#N/D;#N/D;#N/D;12.04;12.88;#N/D;#N/D;;5.09;5.08;10.17;12.00;11.01;1.91;2.03;;;0.36;0.12;;;0.18;0.18;0.00;0.18;#N/D;2.87;3.40;2.05;1.57;2.20;1.50;2.37;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.348432056;0.294117647;0.487804878;0.636942675;0.454545455;0.130354581;0.09148813;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/tpRYB3dl/?t=stats; al-ahli-sc-0MHmoCY0; al-hilal-hxxcePl9
20:00;Imagen;ARA;Al Kholood;Al-Ittihad;#N/D;;;#N/D;#N/D;#N/D;10.19;13.54;#N/D;#N/D;;4.00;5.85;9.85;11.04;12.38;1.50;2.31;;;0.19;0.19;;;0.17;0.12;0.00;0.14;#N/D;5.00;3.90;1.47;1.50;2.40;1.65;2.05;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.2;0.256410256;0.680272109;0.666666667;0.416666667;0.136682365;0.083333333;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/OSp2HPYQ/?t=stats; al-kholood-Mqs1WbFK; al-ittihad-QmsyAjWh
0:00;Imagen;BRA;Atletico-MG;Sao Paulo;+;Fernando Antonio Mendes;G;-55.33%;0.86;6.35;15.50;12.25;0.62;1.92;2.54;5.25;5.75;11.00;;;3.02;2.64;5.36;5.51;0.00;0.00;0.55;0.30;0.16;0.13;0.40;0.34;#N/D;2.40;3.00;2.90;2.20;1.61;1.83;1.85;0.61759814;1.91807971;0.111029143;0.204766952;0.670373575;0.451475292;0.534694378;0.416666667;0.333333333;0.344827586;0.454545455;0.621118012;0.094827586;0.075663467;-0.305637524;-0.128566381;0.325545989;-0.003070162;-0.086423634;2;https://www.flashscore.mobi/match/KSexmeRN/?t=stats;atletico-mg-hGLC5Bah;sao-paulo-QgP0oAUH
0:00;Imagen;BRA;Mirassol;Coritiba;+;Bruno Arleu de Araújo;G;-31.33%;2.58;4.84;18.25;11.25;1.52;1.85;3.37;8.00;3.00;11.00;;;2.49;2.16;5.55;5.10;0.25;0.00;0.19;0.23;#N/D;#N/D;0.35;0.35;#N/D;1.63;3.50;5.50;2.00;1.73;1.95;1.75;1.520867769;1.85192029;0.314314851;0.224348239;0.444842348;0.63848703;0.345018408;0.613496933;0.285714286;0.181818182;0.5;0.578034682;0.0810294;0.078034682;-0.299182081;-0.061366046;0.263024166;0.13848703;-0.233016274;2;https://www.flashscore.mobi/match/bD7TlHdB/?t=stats;mirassol-pQ8ryEe7;coritiba-KGO4pUqO
1:30;Imagen;BRA;Santos;Internacional;#N/D;Davi de Oliveira Lacerda;G;#N/D;#N/D;#N/D;12.50;13.00;#N/D;#N/D;;5.75;5.25;11.00;;;3.15;1.82;4.48;4.72;0.00;0.00;0.17;0.09;0.11;0.22;0.27;0.30;#N/D;2.30;3.25;2.80;1.80;1.91;1.67;2.10;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.434782609;0.307692308;0.357142857;0.555555556;0.523560209;0.099617774;0.079115765;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/AwdDhacn/?t=stats;santos-n3QdnjFB;internacional-tSCiHj0I
1:30;Imagen;BRA;Vasco;Fluminense;#N/D;Raphael Claus;G;#N/D;#N/D;#N/D;22.00;11.50;#N/D;#N/D;;8.25;4.75;13.00;;;2.04;2.37;3.98;4.19;0.25;0.00;0.19;0.23;0.09;0.12;0.27;0.24;#N/D;3.00;3.00;2.35;2.10;1.67;1.85;1.85;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.333333333;0.333333333;0.425531915;0.476190476;0.598802395;0.092198582;0.074992871;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/fRL3YeCU/?t=stats;vasco-2RABlYFn;fluminense-EV9L3kU4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
